time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.53902254513e-07,1.1759463917e-07,10.0021145641,6.28273183591,0.000335154365745,0.0,-2.99667041562e-05,-1.07236907461e-05,0.0704830895379,-0.0303491406971,0.0149064765463,0.0,426.48239303980466,427.7533864294364,429.0364954615227,426.45248314084273
0.12000000000000001,-1.23595952681e-05,-1.67817635404e-05,10.0091606478,6.28080033109,0.00116080196578,0.0,-0.00045727923994,-0.000741999159958,0.164376530737,-0.036157321269,0.0113649833575,0.0,435.22265815650553,434.92609070864205,435.1074615863264,434.6206055051281
0.18,-6.41529253472e-05,-0.000113249302716,10.019978758,6.27836527135,0.0022300928707,0.0,-0.00135184682478,-0.00268341576232,0.196221107578,-0.0513620374845,0.028334227539,0.0,413.7085045965323,415.19965397039425,415.710566203219,414.375286986472
0.23999999999999996,-0.000197387248767,-0.000382904985424,10.034606234,6.27650137083,0.003787726855,0.0,-0.00325472015169,-0.00653879332342,0.291339517736,-0.0069297848075,0.0207323833404,0.0,435.0202766379261,434.3835226120684,434.25020709115415,437.96007767932815
0.3,-0.000480019676742,-0.000921789737535,10.0561609274,6.27641235604,0.00463068126589,0.0,-0.00628395814718,-0.0114489441681,0.427107965736,0.0076403982565,-0.00471183523149,0.0,449.0170659265755,446.9483963753719,447.8672959509157,449.0506169994152
0.36000000000000004,-0.000968281757036,-0.0017711807577,10.0884407318,6.27700698056,0.00404878457697,0.0,-0.00994217628665,-0.0167998275468,0.648786292587,0.0141024821335,-0.0222279943708,0.0,475.0114621675397,473.6666325954837,473.7508262313692,474.2472316361566
0.4200000000000001,-0.00165255041675,-0.00291837328819,10.1328117514,6.27755576197,0.00254602031954,0.0,-0.0127054028528,-0.0213568395765,0.8301342829,-0.00328571447285,-0.0313793180265,0.0,462.7467283464761,462.02580128139556,463.2068255479378,461.837485397284
0.48000000000000015,-0.00246364664385,-0.00432519221471,10.1871809832,6.27776086306,0.000336184071713,0.0,-0.0141099217543,-0.0255332342152,0.982055347351,0.0142613782849,-0.0509081137118,0.0,454.6186173535341,453.05066970573176,453.0522667629001,454.46069508788577
0.5400000000000001,-0.00330550939374,-0.00597422080743,10.2506647475,6.27860105827,6.2807715262,0.0,-0.0136356062707,-0.029340682404,1.13393187071,0.0134819581346,-0.0372414240953,0.0,453.23045148403537,454.3261640140595,454.3452382170009,454.2826354405336
0.6000000000000002,-0.0040621400271,-0.00783103065416,10.3227822949,6.27898783258,6.27819817002,0.0,-0.0113315754317,-0.0324815410828,1.26984457455,-0.0138523615262,-0.0576527292379,0.0,450.4937894001676,448.83938039669806,450.3271227034325,448.1108166060914
0.6600000000000003,-0.00464176175686,-0.00985832840167,10.3993413626,6.27772549292,6.2756517767,0.0,-0.00773116883264,-0.035182285171,1.28210866265,-0.0420234046122,-0.0223861864577,0.0,408.21035059393694,411.3434926858037,411.01509239054405,408.51084113158805
0.7200000000000003,-0.00494501403757,-0.0120916286386,10.4792420187,6.27487124607,6.27421333876,0.0,-0.00223666651574,-0.039530746005,1.3811289058,-0.0619797830777,-0.0273548471483,0.0,438.9150689149857,438.5024713910565,438.60939193462025,436.9474914442134
0.7800000000000004,-0.00492097631243,-0.0146176671746,10.5615743683,6.27114160546,6.27313668417,0.0,0.00314913880398,-0.0449856466786,1.36330001558,-0.062524769173,-0.00376267366912,0.0,398.61300940249254,400.762906688413,399.8404005843368,399.7874957238851
0.8400000000000004,-0.00450206039824,-0.0176079395066,10.6485843483,6.26760311823,6.27349246063,0.0,0.0107997196039,-0.055097865089,1.53680986923,-0.0526845779922,0.0204354014732,0.0,460.8484862763381,462.7569854468692,460.7788857946728,461.5537387280472
0.9000000000000005,-0.00363769817765,-0.0212831387874,10.7459873866,6.2639643094,6.27468710816,0.0,0.0178735098922,-0.0677781837251,1.70971013214,-0.0855766785845,0.0188404630983,0.0,461.61700926535804,461.4910979127534,463.29876233879986,460.7027189335882
0.9600000000000005,-0.00239740710958,-0.0257584245385,10.8511585149,6.25865543398,6.27578781673,0.0,0.0233568772823,-0.0819165214491,1.79585179421,-0.0950308449583,0.0173357055547,0.0,435.33998466575696,435.2140140467047,435.9600541258071,435.1627025203782
1.0200000000000005,-0.000856119993061,-0.0311703013647,10.9606624947,6.25279087187,6.27685789785,0.0,0.0279174919333,-0.0990306224151,1.85417286173,-0.103803102346,0.0188143568326,0.0,427.37581100711964,427.5017609734773,426.4561458245155,425.69753488634115
1.0800000000000005,0.000944910867514,-0.0377613117121,11.0748217838,6.24648809653,6.27776809434,0.0,0.0320110315636,-0.121300657184,1.95095475491,-0.107653968196,0.00664791411414,0.0,440.30905288559126,439.3013418540911,439.08721958629627,438.7578487172359
1.1400000000000006,0.00297113095758,-0.0457892724122,11.1939975832,6.23991676479,6.27835224726,0.0,0.0354803107141,-0.14692926837,2.02142296165,-0.113544300045,0.0152895368679,0.0,431.17751263910674,431.90680430108495,431.416703346748,430.9080676682253
1.2000000000000006,0.00518644438109,-0.0554326049528,11.3161928333,6.2330193144,6.27944249195,0.0,0.0382705340844,-0.175141209271,2.05166684816,-0.117942363481,0.023386441705,0.0,418.2981128070617,419.00255378985867,418.5529441130201,418.1572996012444
1.2600000000000007,0.00756221583383,-0.0671160511165,11.4444346277,6.2258195581,6.28076499928,0.0,0.0407669775061,-0.215093485156,2.22269636478,-0.124451978503,0.0192072140904,0.0,463.8586699411404,463.53037317017095,462.9783650131819,462.4535457699951
